id,iso_639_3,text,topic
0,ceb,"Kaniadtong Lunes, gipahibalo sa mga siyentista gikan sa Stanford University School of Medicine ang pag-imbento sa usa ka bag-ong himan sa pagdayagnos nga makahimo sa paghan-ay sa mga selyula pinaagi sa lahi: usa ka gamay nga maimprinta nga tipik nga mahimong gamit ang sagad nga mga inkjet printer alang sa tingali mga usa ka sentimo sa Estados Unidos.",health
0,fil,"Noong Lunes, inanunsiyo ng mga siyentipiko mula sa Stanford University School of Medicine ang imbensyon ng panibagong kagamitan sa pag-diagnose na makakauri sa mga cell ayon sa uri: isang maliit na chip na maaaring maprint na maaaring magawa gamit ang standard inkjet na mga printer at posibleng nasa isang U.S. sentimo kada isa.",health
0,ilo,"Idi Lunes, impakaammo dagiti siyentipiko ti Stanford University School of Medicine ti pannakaaramid ti baro a gamit a mangkita a mangilasin ti klase ti selula: maysa a bassit a maimprenta a chip a mabalin a maaramid bayat ti panagusar ti normal a pagimprenta nga inkjet a posible nga agbalor ti maysa a sentimo ti U.S. kada maysa.",health
1,ceb,"Ang mga nangunang mga tigdukiduki miingon nga mahimo kining magdala og sayo nga pagkaalinggat sa kanser, tuberculosis, HIV ug malaria sa mga pasyente sa mga nasud nga ubos ang kita, diin ang mga rate sa pagkabuhi sa mga sakit sama sa kanser sa suso mahimong katunga sa mga labing dato gayud nga mga nasud.",health
1,fil,"Sinasabi ng mga namumunong tagapanaliksik na maaari itong magdala ng maagang pagkatuklas ng kanser, tuberkulosis, HIV at malarya sa mga pasyenteng nasa mga bansang may mababang kita, kung saan ang mga survival rate para sa mga sakit kagaya ng kanser sa suso ay maaaring mangalahati kumpara sa mga nasa mayayamang bansa.",health
1,ilo,"Ibaga dagiti nangyun-una iti panagsirarak a mabalin a makatulong daytoy tapno nasaksakbay a maammuan ti kanser, tuberkulosis, HIV, ken malaria kadagiti pasiente iti napapanglaw a pagilian, a sadiay a mabalin a kagudua laeng ti makalaslasat kadagiti sakit a kas iti kanser ti suso no idilig kadagiti nabakbaknang a pagilian.",health
2,ceb,Ang JAS 39C Gripen nahagbong sa landinganan mga alas 9:30 sa buntag sa lokal nga oras (0230 UTC) ug mibuto maong gipasirad-an ang tugpahanan sa mga komersiyal nga paglupad.,accident
2,fil,"Sumalpok ang JAS 39C Gripen sa patakbuhan ng mga 9:30 am nang lokal na oras (0230 UTC) at sumiklab, nagpatigil sa operasyon ng paliparan sa mga commercial flight.",accident
2,ilo,"Ti JAS 39C Gripen ket naregreg ti maysa a pagpatayaban ti oras ti 9:30 am lokal nga oras (0230 UTC) ken bimtak, a nangitunda ti panagrekep ti airport kadagiti komersial a byahe.",accident
3,ilo,Ti piloto ket nainaganan a ni Squadron Leader Dilokrit Pattavee.,accident
3,fil,Kinilala ang piloto bilang ang Pinuno ng Squadron na si Dilokrit Pattavee.,accident
3,ceb,Ang piloto giilang si Squadron Leader Dilokrit Pattavee.,accident
4,ceb,Gitaho sa lokal nga media nga mitikyaob ang usa ka sakyanan sa sunog sa tugpahanan samtang nag-responde.,accident
4,fil,Ang lokal na media ay nag-ulat na ang isang sasakyan ng bombero ng airport ang tumaob habang nagpapatay ng sunog.,accident
4,ilo,Impadamag ti lokal a media a ti lugan para ti puor ti eropuerto ket nagtulatid kabayatan nga agresresponde.,accident
5,ceb,"Ang 28-anyos nga si Vidal miapil sa Barça tulo ka season ang milabay, gikan sa Sevilla.",sports
5,ilo,"Iti 28 ti tawenna a ni Vidal ket simmali iti Barça tallo a tawen ti napalabasen, naggapu iti Sevilla.",sports
5,fil,"Ang 28 taong gulang na si Vidal ay sumali sa BarÃ§a tatlong season na ang nakalipas, mula sa Sevilla.",sports
6,ilo,"Sipud ti panagakarna idiay Catalan-kapital, ni Vidal ket nagay-ayam ti 49 nga ay-ayam para iti klab.",sports
6,ceb,"Sukad nga mibalhin sa Catalan-capital, si Vidal nakadula og 49 ka higayon alang sa club.",sports
6,fil,"Simula ng lumipat sa Catalan-capital, naglaro ng 49 na laro si Vidal para sa club.",sports
7,ilo,"Nangrugi ti protesta iti 11:00 oras a lokal (UTC+1) idiay Whitewall bangir ti pagserrekan a naguardiaan ti polis a mapan idiay kalsada ti Downing, nga isu ti opisial a residente ti Primero a Ministro.",politics
7,ceb,"Nagsugod ang protesta mga 11:00 sa lokal nga oras (UTC+1) sa Whitehall atbang sa ganghaan nga gibantayan sa pulis sa Downing Street, ang opisyal nga puluy-anan sa Punong Ministro.",politics
7,fil,"Nagsimula ang protesta bandang 11:00 lokal na oras (UTC+1) sa Whitehall sa tapat ng binabantayan ng kapulisan na entrada sa Kalye Downing, ang opisyal na tahanan ng Punong Ministro.",politics
8,ceb,"Pagkahuman gyud sa 11:00, ang mga ningprotesta nibabag sa trapiko sa karwaheng nagpadulong sa habagatang bahin sa Whitehall.",politics
8,ilo,"Kalpasan la unay ti 11:00, binangenan dagiti agprotprotesta ti trapiko ti agpaamianan a carriage idiay Whitehall.",politics
8,fil,"Ilang sandali lamang makalipas ang 11:00, hinadlangan ng mga nagpoprotesta ang trapiko sa kalsadang patungong hilaga sa Whitehall.",politics
9,fil,"Noong 11:20, hiniling ng pulisya sa mga nagpoprotesta na bumalik na sa bangketa, at sinabing kailangan nilang balansehin ang karapatang magprotesta sa pagbigat ng trapiko.",politics
9,ilo,"Idi 11:20, sinaludsudan dagiti polis dagiti agprotprotesta nga umakarda nga agpalikod idiay bangketa, ibagbagada a kasapulanda nga ibalanse ti karbenganda nga agprotesta iti maur-urnong a trapiko.",politics
