sentence,diction_label,source
Pumunta siya sa palengke sa itinakdang oras..,Plain,constructed
"Alinsunod dito, isinasagawa ang susunod na hakbang.",Formal,constructed
Isinasaalang-alang ang lahat ng detalye bago matapos ang araw..,Formal,constructed
Hindi ko alam ayon sa plano..,Plain,constructed
Uuwi ako mamaya para sa susunod na gawain..,Plain,constructed
Pakihintay po sandali para sa gawain..,Polite,constructed
Pumunta siya sa palengke.,Plain,constructed
Ipinapahayag ang opisyal na resulta ayon sa plano..,Formal,constructed
Sandali lang ayon sa plano..,Plain,constructed
Pakisabi po sa kanya pagkatapos ng pulong..,Polite,constructed
May dala akong bag sa araw na ito..,Plain,constructed
Sandali lang sa itinakdang oras..,Plain,constructed
Tatawag ako mamaya sa itinakdang oras..,Plain,constructed
Pinahihintulutan ang paggamit nito para sa susunod na gawain..,Formal,constructed
Pakisabi po sa kanya bago matapos ang araw..,Polite,constructed
Pakitulong po sa akin ngayong araw..,Polite,constructed
Pumunta siya sa palengke ngayong araw..,Plain,constructed
Pakibasa po ang mensahe.,Polite,constructed
May gagawin ako ngayon para sa susunod na gawain..,Plain,constructed
Nag-aaral ako ngayon para sa gawain..,Plain,constructed
Kumain na ako.,Plain,constructed
Ipinagbabawal ang pagpasok sa lugar para sa susunod na gawain..,Formal,constructed
Nakasaad sa dokumento ang mga tuntunin bago magsimula..,Formal,constructed
Hinggil sa usaping ito ang pulong para sa susunod na gawain..,Formal,constructed
Puwede po ba akong sumali bago matapos ang araw.?,Polite,constructed
"Alinsunod dito, isinasagawa ang susunod na hakbang bago magsimula..",Formal,constructed
Nagluluto si Ana ngayon ayon sa plano..,Plain,constructed
May dala akong bag bago magsimula..,Plain,constructed
Hinggil sa usaping ito ang pulong pagkatapos ng pulong..,Formal,constructed
"Samakatwid, kinakailangan ang karagdagang pagsusuri ngayong araw..",Formal,constructed
Nakasaad sa dokumento ang mga tuntunin para sa susunod na gawain..,Formal,constructed
Nasa bahay lang ako bago matapos ang araw..,Plain,constructed
Kumain na ako para sa gawain..,Plain,constructed
Salamat po sa tulong sa araw na ito..,Polite,constructed
Nagluluto si Ana ngayon para sa susunod na gawain..,Plain,constructed
Tinanggap ang kumpletong aplikasyon sa araw na ito..,Formal,constructed
Nagluluto si Ana ngayon bago magsimula..,Plain,constructed
Nakasaad sa dokumento ang mga tuntunin sa itinakdang oras..,Formal,constructed
Kinakailangan ang wastong dokumento sa araw na ito..,Formal,constructed
Makisuyo po sa pinto ayon sa plano..,Polite,constructed
Pakihintay po sandali bago matapos ang araw..,Polite,constructed
Tatawag ako mamaya ngayong araw..,Plain,constructed
Ipinatutupad ang bagong alituntunin sa itinakdang oras..,Formal,constructed
Itinatakda ang bagong petsa bago matapos ang araw..,Formal,constructed
May gagawin ako ngayon ngayong araw..,Plain,constructed
Kumain na ako para sa susunod na gawain..,Plain,constructed
Tinanggap ang kumpletong aplikasyon ayon sa plano..,Formal,constructed
May gagawin ako ngayon sa itinakdang oras..,Plain,constructed
Nasa bahay lang ako ayon sa plano..,Plain,constructed
Itinatakda ang bagong petsa para sa gawain..,Formal,constructed
"Pakiusap po, tulungan ninyo ako sa araw na ito..",Polite,constructed
Puwede po ba akong sumali sa araw na ito.?,Polite,constructed
Uuwi ako mamaya sa itinakdang oras..,Plain,constructed
Nakasaad sa dokumento ang mga tuntunin pagkatapos ng pulong..,Formal,constructed
Isinagawa ang kinakailangang pagsusuri para sa susunod na gawain..,Formal,constructed
Paumanhin po sa abala pagkatapos ng pulong..,Polite,constructed
Pakisabi po sa kanya.,Polite,constructed
Pupunta kami bukas bago matapos ang araw..,Plain,constructed
Hindi ko alam bago magsimula..,Plain,constructed
May dala akong bag para sa susunod na gawain..,Plain,constructed
Kailangan ko ito ngayon ayon sa plano..,Plain,constructed
Kailangan ko ito ngayon bago matapos ang araw..,Plain,constructed
Pakisabi po sa kanya bago magsimula..,Polite,constructed
Hinggil sa usaping ito ang pulong bago magsimula..,Formal,constructed
Pinahihintulutan ang paggamit nito pagkatapos ng pulong..,Formal,constructed
Pumunta siya sa palengke ayon sa plano..,Plain,constructed
Kinakailangan ang wastong dokumento bago matapos ang araw..,Formal,constructed
Ipinapahayag ang opisyal na resulta para sa susunod na gawain..,Formal,constructed
Uuwi ako mamaya para sa gawain..,Plain,constructed
Paumanhin po sa abala sa itinakdang oras..,Polite,constructed
Pakihintay po sandali sa itinakdang oras..,Polite,constructed
Nag-aaral ako ngayon.,Plain,constructed
Ipinababatid ang bagong iskedyul ngayong araw..,Formal,constructed
Pakitulong po sa akin bago matapos ang araw..,Polite,constructed
Ipinapahayag ang opisyal na resulta ngayong araw..,Formal,constructed
"Samakatwid, kinakailangan ang karagdagang pagsusuri bago magsimula..",Formal,constructed
Pakibasa po ang mensahe sa itinakdang oras..,Polite,constructed
"Opo, naiintindihan ko po ngayong araw..",Polite,constructed
"Alinsunod dito, isinasagawa ang susunod na hakbang pagkatapos ng pulong..",Formal,constructed
